POOL|Sorcerer Bloodline|selections 53|linked+held 30|lines before 9800|lines after 1040|linked lines: held 6938, NOT-HELD 1822, no converted member rule 0|unlinked lines still printed 1040
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePowers|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Crossblooded|BloodlineCasterLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Crossblooded|BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Crossblooded|BloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Power of Wyrms|BlindsenseRange|60|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineArcana1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineClassSkill1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower15|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower20|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower3|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower9|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|19|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineSpells1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Bloodrager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePowers|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Crossblooded|BloodlineCasterLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Crossblooded|BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Crossblooded|BloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineArcana1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineClassSkill1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower15|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower20|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower3|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower9|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|20|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineSpells1|0|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|1|Dreamspun Bloodline ~ Combat Precognition|Sorcerer_DreamspunCombatPrecognition_InitiativeBonus|0|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|1|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|10|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|1|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|1|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|1|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|2|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|2|Dreamspun Bloodline ~ Combat Precognition|Sorcerer_DreamspunCombatPrecognition_InitiativeBonus|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|2|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|11|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|2|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|2|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|2|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|4|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|3|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|12|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|3|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|3|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|3|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|6|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|4|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|13|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|4|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|4|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|4|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|8|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|5|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|14|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|5|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|5|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|5|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|10|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|6|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|15|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|6|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|6|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|6|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|12|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|7|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|16|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|7|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|7|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|7|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|14|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|8|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_DC|17|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|8|Dreamspun Bloodline ~ Dreamshaper|Sorcerer_DreamspunDreamshaper_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|8|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|8|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|16|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|9|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|9|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|18|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|10|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|10|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|20|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|11|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|11|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|22|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|12|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|12|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|24|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|13|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|13|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|26|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|14|Dreamspun Bloodline ~ Eye of Somnus|Sorcerer_DreamspunEyeOfSomnus_Times|1|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|14|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|28|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|15|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|30|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|16|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|32|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|17|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|34|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|18|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|36|NOT-HELD
LINE|Sorcerer|Dreamspun Bloodline|19|Dreamspun Bloodline ~ Solipsism|Sorcerer_DreamspunSolipsism_Duration|38|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|1|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|2|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|1|Ectoplasm Bloodline ~ Ectoplasmic Reach|Sorcerer_EctoplasmEctoplasmicReach_Reach|5|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|1|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|2|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|2|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|4|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|2|Ectoplasm Bloodline ~ Ectoplasmic Reach|Sorcerer_EctoplasmEctoplasmicReach_Reach|5|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|2|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|4|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|3|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|6|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|3|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|6|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|4|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|8|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|4|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|8|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|5|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|10|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|5|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|10|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|6|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|12|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|6|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|12|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|7|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|14|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|7|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|14|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|8|Ectoplasm Bloodline ~ Ectoplasmic Form|Sorcerer_EctoplasmEctoplasmicForm_Duration|16|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|8|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|16|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|9|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|18|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|10|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|20|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|11|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|22|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|12|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|24|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|13|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|26|NOT-HELD
LINE|Sorcerer|Ectoplasm Bloodline|14|Ectoplasm Bloodline ~ Malevolent Ectoplasm|Sorcerer_EctoplasmMalevolentEctoplasm_Duration|28|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|1|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|2|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|1|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|1|Efreeti Bloodline ~ Elemental Resistance|FireResistanceBonus|0|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|2|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|4|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|2|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|2|Efreeti Bloodline ~ Elemental Resistance|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|3|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|6|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|3|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|4|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|8|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|4|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|5|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|10|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|5|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|6|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|12|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|6|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|7|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|14|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|7|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|8|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Duration|16|NOT-HELD
LINE|Sorcerer|Efreeti Bloodline|8|Efreeti Bloodline ~ Efreeti Form|Sorcerer_EfreetiEfreetiForm_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|1|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|10|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|1|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|2|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|1|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|1|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|2|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|11|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|2|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|4|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|2|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|2|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|3|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|12|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|3|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|6|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|3|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|3|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|4|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|13|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|4|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|8|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|4|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|4|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|5|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|14|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|5|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|10|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|5|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|5|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|6|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|15|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|6|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|12|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|6|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|6|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|7|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|16|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|7|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|14|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|7|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|7|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|8|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_DC|17|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|8|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Dice|16|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|8|Elemental Bloodline ~ Elemental Blast|Sorcerer_ElementalElementalBlast_Times|1|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|8|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|9|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|10|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|11|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|12|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|13|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|14|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|15|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|16|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|17|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|18|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|19|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Elemental Bloodline|20|Elemental Bloodline ~ Elemental Movement (Air)|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Fey Bloodline|1|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|2|NOT-HELD
LINE|Sorcerer|Fey Bloodline|1|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|2|NOT-HELD
LINE|Sorcerer|Fey Bloodline|2|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|4|NOT-HELD
LINE|Sorcerer|Fey Bloodline|2|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|4|NOT-HELD
LINE|Sorcerer|Fey Bloodline|3|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|6|NOT-HELD
LINE|Sorcerer|Fey Bloodline|3|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|6|NOT-HELD
LINE|Sorcerer|Fey Bloodline|4|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|8|NOT-HELD
LINE|Sorcerer|Fey Bloodline|4|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|8|NOT-HELD
LINE|Sorcerer|Fey Bloodline|5|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|10|NOT-HELD
LINE|Sorcerer|Fey Bloodline|5|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|10|NOT-HELD
LINE|Sorcerer|Fey Bloodline|6|Fey Bloodline ~ Fleeting Glance|Sorcerer_FeyFleetingGlance_Time|12|NOT-HELD
LINE|Sorcerer|Fey Bloodline|6|Fey Bloodline ~ Soul of the Fey|Sorcerer_FeySoulOfTheFey_CasterLevel|12|NOT-HELD
